< excerpt/NN, is/VBZ, woman/NN >
< Waverly/NNP, discusses/VBZ, that/WDT >
< Waverly/NNP, discusses/VBZ, advertisement/NN >
< June/NNP, wrote/VBD, that/WDT >
< June/NNP, wrote/VBD, advertisement/NN >
< Waverly/NNP, laughed/VBD, that/WDT >
< Waverly/NNP, laughed/VBD, advertisement/NN >
< it/PRP, joke/NN, benefits/NNS >
< it/PRP, joke/NN, Satisfaction/NN >
< it/PRP, joke/NN, this/DT >
< it/PRP, was/VBD, joke/NN >
< everybody/NN, thought/VBD, benefits/NNS >
< everybody/NN, thought/VBD, Satisfaction/NN >
< everybody/NN, thought/VBD, this/DT >
< everybody/NN, was/VBD, thought/VBD >
< She/PRP, laughed/VBD, benefits/NNS >
< She/PRP, laughed/VBD, Satisfaction/NN >
< She/PRP, laughed/VBD, this/DT >
< She/PRP, was/VBD, laughed/VBD >
< she/PRP, started/VBD, benefits/NNS >
< she/PRP, started/VBD, Satisfaction/NN >
< she/PRP, started/VBD, this/DT >
< she/PRP, was/VBD, started/VBD >
< She/PRP, said/VBD, benefits/NNS >
< She/PRP, said/VBD, Satisfaction/NN >
< She/PRP, said/VBD, this/DT >
< She/PRP, was/VBD, said/VBD >
< I/PRP, heard/VBD, mother/NN >
< I/PRP, heard/VBD, style/NN >
< one/CD, teach/VB, mother/NN >
< one/CD, teach/VB, style/NN >
< matters/NNS, worse/RBR, mother/NN >
< matters/NNS, worse/RBR, style/NN >
< June/NNP, is/VBZ, sophisticated/JJ >
< mother/NN, gave/VBD, importance/NN >
< me/PRP, my/PRP$, importance/NN >
< I/PRP, was/VBD, chosen/VBN >
< pendant/NN, was/VBD, piece/NN >
< I/PRP, forgot/VBN, necklace/NN >
< I/PRP, stuffed/VBD, necklace/NN >
< I/PRP, wonder/VBP, what/WP >
< mother/NN, died/VBD, what/WP >
< it/PRP, means/VBZ, what/WP >
< me/PRP, understand/VB, grief/NN >
< me/PRP, understand/VB, me/PRP >
< me/PRP, 's/VBZ, understand/VB >
< she/PRP, person/NN, grief/NN >
< she/PRP, person/NN, me/PRP >
< she/PRP, 's/VBZ, person/NN >
< I/PRP, asked/VBN, grief/NN >
< I/PRP, asked/VBN, me/PRP >
< I/PRP, 's/VBZ, asked/VBN >
< carvings/NNS, mean/VBP, something/NN >
< carvings/NNS, mean/VBP, something/NN >
< carvings/NNS, mean/VBP, which/WDT >
< I/PRP, seem/VBP, something/NN >
< I/PRP, seem/VBP, something/NN >
< I/PRP, seem/VBP, which/WDT >
< I/PRP, think/VBP, something/NN >
< I/PRP, think/VBP, something/NN >
< I/PRP, think/VBP, which/WDT >
< they/PRP, tell/VB, friends/NNS >
< they/PRP, tell/VB, Lindo/NNP >
< they/PRP, tell/VB, meaning/NN >
< they/PRP, tell/VB, An-mei/NNP >
< they/PRP, tell/VB, what/WP >
< they/PRP, is/VBZ, tell/VB >
< mother/NN, intended/VBN, friends/NNS >
< mother/NN, intended/VBN, Lindo/NNP >
< mother/NN, intended/VBN, meaning/NN >
< mother/NN, intended/VBN, An-mei/NNP >
< mother/NN, intended/VBN, what/WP >
< mother/NN, is/VBZ, intended/VBN >
< I/PRP, know/VBP, friends/NNS >
< I/PRP, know/VBP, Lindo/NNP >
< I/PRP, know/VBP, meaning/NN >
< I/PRP, know/VBP, An-mei/NNP >
< I/PRP, know/VBP, what/WP >
< I/PRP, is/VBZ, know/VBP >
< that/WDT, different/JJ, friends/NNS >
< that/WDT, different/JJ, Lindo/NNP >
