< Studies/NNS, show/VBP, puzzles/NNS >
< Studies/NNS, show/VBP, objects/NNS >
< Studies/NNS, show/VBP, language/NN >
< Studies/NNS, are/VBP, show/VBP >
< dolphins/NNS, able/JJ, puzzles/NNS >
< dolphins/NNS, able/JJ, objects/NNS >
< dolphins/NNS, able/JJ, language/NN >
< dolphins/NNS, are/VBP, able/JJ >
< Scientists/NNS, believe/VBP, language/NN >
< Scientists/NNS, believe/VBP, which/WDT >
< Scientists/NNS, believe/VBP, information/NN >
< dolphins/NNS, transmitted/VBN, language/NN >
< dolphins/NNS, transmitted/VBN, which/WDT >
< dolphins/NNS, transmitted/VBN, information/NN >
< dolphins/NNS, possess/VBP, language/NN >
< dolphins/NNS, possess/VBP, which/WDT >
< dolphins/NNS, possess/VBP, information/NN >
< dolphins/NNS, recognize/VB, themselves/PRP >
< experiment/NN, proved/VBD, themselves/PRP >
< behavior/NN, demonstrates/VBZ, level/NN >
< behavior/NN, be/VB, demonstrates/VBZ >
< behavior/NN, are/VBP, demonstrates/VBZ >
< that/WDT, very/RB, level/NN >
< that/WDT, be/VB, very/RB >
< that/WDT, are/VBP, very/RB >
< dolphins/NNS, indicating/VBG, level/NN >
< dolphins/NNS, be/VB, indicating/VBG >
< dolphins/NNS, are/VBP, indicating/VBG >
< size/NN, determine/VB, brains/NNS >
< size/NN, determine/VB, extent/NN >
< size/NN, determine/VB, nature/NN >
< we/PRP, know/VBP, brains/NNS >
< we/PRP, know/VBP, extent/NN >
< we/PRP, know/VBP, nature/NN >
< Dolphins/NNPS, have/VBP, brains/NNS >
< Dolphins/NNPS, have/VBP, extent/NN >
< Dolphins/NNPS, have/VBP, nature/NN >
< researchers/NNS, suggested/VBN, brains/NNS >
< researchers/NNS, suggested/VBN, them/PRP >
< they/PRP, need/VBP, brains/NNS >
< they/PRP, need/VBP, them/PRP >
< they/PRP, need/VBP', brains/NNS >
< they/PRP, need/VBP', them/PRP >
< dolphins/NNS, have/VBP, brains/NNS >
< dolphins/NNS, have/VBP, them/PRP >
< Others/NNS, argued/VBN, level/NN >
< dolphins/NNS, have/VBP, level/NN >
< comparisons/NNS, be/VB, helpful/JJ >
< we/PRP, be/VB, know/VB >
< fact/NN, be/VB, is/VBZ >
< intelligence/NN, is/VBZ, appropriate/JJ >
< intelligence/NN, is/VBZ, appropriate/JJ >
< intelligence/NN, is/VBZ, right/JJ >
< intelligence/NN, is/VBZ, right/JJ >
< intelligence/NN, is/VBZ, different/JJ >
< we/PRP, is/VBZ, say/VB >
< all/DT, is/VBZ, is/VBZ >
< we/PRP, is/VBZ, know/VBP >
